method,lr,n_iter,final_loss,acc,precision,recall,f1
newton,0.5,10,0.39337906173429515,0.9090909090909091,0.8313953488372045,0.9407894736842044,0.8827160493822124
newton,0.5,25,0.3933143852175593,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,0.5,50,0.39331277025388656,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,0.5,100,0.3933123311132073,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,1.0,10,0.3933154200758857,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,1.0,25,0.3933127266353157,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,1.0,50,0.39331232126451643,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
newton,1.0,100,0.39331215659302615,0.9066985645933014,0.8304093567251414,0.9342105263157834,0.8792569659437688
gd,0.01,300,16.82608329847582,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.05,300,16.968336885168966,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.05,2000,16.641799047847243,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.05,4000,16.866820125632113,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.1,300,16.992178102224926,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.1,800,16.980942987718176,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.1,4000,16.64700791383424,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.2,300,16.994176985820314,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.2,800,16.9673468641817,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.2,4000,16.70971602125802,0.36363636363636365,0.36363636363636276,0.9999999999999934,0.5333333333329403
gd,0.01,800,10.542866274379884,0.6363636363636364,0.0,0.0,0.0
gd,0.01,2000,10.54234180602177,0.6363636363636364,0.0,0.0,0.0
gd,0.01,4000,10.505637375174583,0.6363636363636364,0.0,0.0,0.0
gd,0.05,800,10.495650671937678,0.6363636363636364,0.0,0.0,0.0
gd,0.1,2000,10.563903261114822,0.6363636363636364,0.0,0.0,0.0
gd,0.2,2000,10.574835481914548,0.6363636363636364,0.0,0.0,0.0
