2024-05-27 03:03:23.323 [pool-2-thread-3] INFO  Server - after reading request in processing client block
2024-05-27 03:03:23.324 [pool-2-thread-3] INFO  Server - before read request in processing client block
2024-05-27 03:03:23.324 [ForkJoinPool-1-worker-1] INFO  Server - before processing request in processing client block
2024-05-27 03:03:23.324 [pool-2-thread-4] INFO  Server - in reading method
2024-05-27 03:03:23.324 [ForkJoinPool-1-worker-1] INFO  Server - in processRequest method
2024-05-27 03:03:23.324 [ForkJoinPool-1-worker-1] INFO  Server - processing request started
2024-05-27 03:03:23.325 [ForkJoinPool-1-worker-1] INFO  Server - before requestHandler.processRequest
2024-05-27 03:03:23.325 [ForkJoinPool-1-worker-1] INFO  Server - after requestHandler processRequest
2024-05-27 03:03:23.326 [ForkJoinPool-1-worker-1] INFO  Server - after processing request in processing client block
2024-05-27 03:03:23.326 [ForkJoinPool-1-worker-1] INFO  Server - in send response 
2024-05-27 03:03:23.326 [ForkJoinPool-1-worker-1] INFO  Server - oos flushed
2024-05-27 03:03:23.327 [ForkJoinPool-1-worker-1] INFO  Server - before writing to clientSocket sizeBuffer
2024-05-27 03:03:23.327 [ForkJoinPool-1-worker-1] INFO  Server - in sending response while loop
2024-05-27 03:03:23.327 [ForkJoinPool-1-worker-1] INFO  Server - Response sent to /127.0.0.1:49395
2024-05-27 03:03:43.753 [pool-2-thread-4] INFO  Server - returning ois.readObject
2024-05-27 03:03:43.765 [pool-2-thread-3] INFO  Server - after reading request in processing client block
2024-05-27 03:03:43.766 [pool-2-thread-3] INFO  Server - before read request in processing client block
2024-05-27 03:03:43.766 [ForkJoinPool-1-worker-1] INFO  Server - before processing request in processing client block
2024-05-27 03:03:43.766 [pool-2-thread-4] INFO  Server - in reading method
2024-05-27 03:03:43.766 [ForkJoinPool-1-worker-1] INFO  Server - in processRequest method
2024-05-27 03:03:43.766 [ForkJoinPool-1-worker-1] INFO  Server - processing request started
2024-05-27 03:03:43.767 [ForkJoinPool-1-worker-1] INFO  Server - before requestHandler.processRequest
2024-05-27 03:03:43.768 [ForkJoinPool-1-worker-1] INFO  Server - New element has been added
2024-05-27 03:03:43.768 [ForkJoinPool-1-worker-1] INFO  Server - after requestHandler processRequest
2024-05-27 03:03:43.769 [ForkJoinPool-1-worker-1] INFO  Server - after processing request in processing client block
2024-05-27 03:03:43.769 [ForkJoinPool-1-worker-1] INFO  Server - in send response 
2024-05-27 03:03:43.769 [ForkJoinPool-1-worker-1] INFO  Server - oos flushed
2024-05-27 03:03:43.770 [ForkJoinPool-1-worker-1] INFO  Server - before writing to clientSocket sizeBuffer
2024-05-27 03:03:43.770 [ForkJoinPool-1-worker-1] INFO  Server - in sending response while loop
2024-05-27 03:03:43.771 [ForkJoinPool-1-worker-1] INFO  Server - Response sent to /127.0.0.1:49395
2024-05-27 03:03:43.773 [pool-2-thread-4] INFO  Server - returning ois.readObject
2024-05-27 03:03:43.774 [pool-2-thread-3] INFO  Server - after reading request in processing client block
2024-05-27 03:03:43.775 [pool-2-thread-3] INFO  Server - before read request in processing client block
2024-05-27 03:03:43.775 [ForkJoinPool-1-worker-1] INFO  Server - before processing request in processing client block
2024-05-27 03:03:43.776 [ForkJoinPool-1-worker-1] INFO  Server - in processRequest method
2024-05-27 03:03:43.776 [pool-2-thread-4] INFO  Server - in reading method
2024-05-27 03:03:43.776 [ForkJoinPool-1-worker-1] INFO  Server - processing request started
2024-05-27 03:03:43.776 [ForkJoinPool-1-worker-1] INFO  Server - before requestHandler.processRequest
2024-05-27 03:03:43.828 [ForkJoinPool-1-worker-1] INFO  Server - after requestHandler processRequest
2024-05-27 03:03:43.829 [ForkJoinPool-1-worker-1] INFO  Server - after processing request in processing client block
2024-05-27 03:03:43.829 [ForkJoinPool-1-worker-1] INFO  Server - in send response 
2024-05-27 03:03:43.830 [ForkJoinPool-1-worker-1] INFO  Server - oos flushed
2024-05-27 03:03:43.830 [ForkJoinPool-1-worker-1] INFO  Server - before writing to clientSocket sizeBuffer
2024-05-27 03:03:43.831 [ForkJoinPool-1-worker-1] INFO  Server - in sending response while loop
2024-05-27 03:03:43.831 [ForkJoinPool-1-worker-1] INFO  Server - Response sent to /127.0.0.1:49395
2024-05-27 03:03:43.838 [pool-2-thread-4] INFO  Server - returning ois.readObject
2024-05-27 03:03:43.840 [pool-2-thread-3] INFO  Server - after reading request in processing client block
2024-05-27 03:03:43.840 [pool-2-thread-3] INFO  Server - before read request in processing client block
2024-05-27 03:03:43.840 [ForkJoinPool-1-worker-1] INFO  Server - before processing request in processing client block
2024-05-27 03:03:43.841 [pool-2-thread-4] INFO  Server - in reading method
2024-05-27 03:03:43.841 [ForkJoinPool-1-worker-1] INFO  Server - in processRequest method
2024-05-27 03:03:43.841 [ForkJoinPool-1-worker-1] INFO  Server - processing request started
2024-05-27 03:03:43.842 [ForkJoinPool-1-worker-1] INFO  Server - before requestHandler.processRequest
2024-05-27 03:03:43.842 [ForkJoinPool-1-worker-1] INFO  Server - New element has been added
2024-05-27 03:03:43.842 [ForkJoinPool-1-worker-1] INFO  Server - after requestHandler processRequest
2024-05-27 03:03:43.842 [ForkJoinPool-1-worker-1] INFO  Server - after processing request in processing client block
2024-05-27 03:03:43.843 [ForkJoinPool-1-worker-1] INFO  Server - in send response 
2024-05-27 03:03:43.843 [ForkJoinPool-1-worker-1] INFO  Server - oos flushed
2024-05-27 03:03:43.844 [ForkJoinPool-1-worker-1] INFO  Server - before writing to clientSocket sizeBuffer
2024-05-27 03:03:43.845 [ForkJoinPool-1-worker-1] INFO  Server - in sending response while loop
2024-05-27 03:03:43.846 [ForkJoinPool-1-worker-1] INFO  Server - Response sent to /127.0.0.1:49395
2024-05-27 03:03:43.849 [pool-2-thread-4] INFO  Server - returning ois.readObject
2024-05-27 03:03:43.851 [pool-2-thread-3] INFO  Server - after reading request in processing client block
2024-05-27 03:03:43.851 [pool-2-thread-3] INFO  Server - before read request in processing client block
2024-05-27 03:03:43.851 [ForkJoinPool-1-worker-1] INFO  Server - before processing request in processing client block
2024-05-27 03:03:43.852 [pool-2-thread-4] INFO  Server - in reading method
2024-05-27 03:03:43.852 [ForkJoinPool-1-worker-1] INFO  Server - in processRequest method
2024-05-27 03:03:43.852 [ForkJoinPool-1-worker-1] INFO  Server - processing request started
2024-05-27 03:03:43.852 [ForkJoinPool-1-worker-1] INFO  Server - before requestHandler.processRequest
2024-05-27 03:03:43.853 [ForkJoinPool-1-worker-1] INFO  Server - after requestHandler processRequest
2024-05-27 03:03:43.854 [ForkJoinPool-1-worker-1] INFO  Server - after processing request in processing client block
